state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,leading_candidate_party,trailing_candidate_party,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count
Sen-Arizona,2022-11-16 03:06:10.533000,Mark Kelly,Blake Masters,1310454,1185841,DEM,GOP,124613,28452,4095,4000,"  4,000",0.4465,0.5535,1713,1732,2.689881203430339,0.2689514710433296,0.5351333333333333,{},2549561
Sen-Arizona,2022-11-16 01:55:11.125000,Mark Kelly,Blake Masters,1308668,1183627,DEM,GOP,125041,32547,8180,7944,"  7,944",0.4375629405840886,0.5624370594159114,1710,1732,2.4209297323870094,0.3736392371381574,0.5279666666666667,{},2545466
Sen-Arizona,2022-11-15 23:20:18.065000,Mark Kelly,Blake Masters,1305192,1179159,DEM,GOP,126033,40727,1948,1908,"  1,908",0.709643605870021,0.29035639412997905,1705,1732,2.047290495248852,0.0800028561158701,0.5113333333333333,{},2537286
Sen-Arizona,2022-11-15 22:19:17.571000,Mark Kelly,Blake Masters,1303838,1178605,DEM,GOP,125233,42675,1169,1157,"  1,157",0.8184961106309421,0.1815038893690579,1703,1732,1.9672876391329819,0.04752666841863107,0.5246666666666666,{},2535338
Sen-Arizona,2022-11-15 21:15:18.088000,Mark Kelly,Blake Masters,1302891,1178395,DEM,GOP,124496,43844,1578,1536,"  1,536",0.43033854166666663,0.5696614583333334,1703,1732,1.9197609707143508,0.04696805098382373,0.5369333333333334,{},2534169
Sen-Arizona,2022-11-15 20:49:26.671000,Mark Kelly,Blake Masters,1302230,1177520,DEM,GOP,124710,45422,600,586,    586,0.14675767918088733,0.8532423208191127,1701,1732,1.872792919730527,0.013399586107477157,0.5333666666666667,{},2532591
Sen-Arizona,2022-11-15 18:24:07.814000,Mark Kelly,Blake Masters,1302144,1177020,DEM,GOP,125124,46022,3388,3302,"  3,302",0.37250151423379774,0.6274984857662023,1701,1732,1.85939333362305,0.08469185618933195,0.5264333333333333,{},2531991
Sen-Arizona,2022-11-15 17:51:27.968000,Mark Kelly,Blake Masters,1300914,1174948,DEM,GOP,125966,49410,659,636,    636,0.6965408805031447,0.30345911949685533,1699,1732,1.774701477433718,0.019273967397567926,0.5123666666666666,{},2528603
Sen-Arizona,2022-11-15 04:32:14.396000,Mark Kelly,Blake Masters,1300471,1174755,DEM,GOP,125716,50069,754,737,    737,0.4328358208955224,0.5671641791044776,1698,1732,1.75542751003615,0.017651306348843043,0.5165333333333333,{},2527944
Sen-Arizona,2022-11-15 03:55:44.428000,Mark Kelly,Blake Masters,1300152,1174337,DEM,GOP,125815,50823,3652,3568,"  3,568",0.3290358744394619,0.6709641255605381,1698,1732,1.737776203687307,0.07178262865288754,0.5148666666666667,{},2527190
Sen-Arizona,2022-11-15 03:11:56.834000,Mark Kelly,Blake Masters,1298978,1171943,DEM,GOP,127035,54475,527,521,    521,0.7984644913627639,0.20153550863723607,1695,1732,1.6659935750344195,0.013999102106162287,0.4945,{},2523538
Sen-Arizona,2022-11-15 01:56:10.828000,Mark Kelly,Blake Masters,1298562,1171838,DEM,GOP,126724,55002,108571,106435,"106,435",0.5003147460891624,0.4996852539108376,1695,1732,1.6519944729282572,0.7648370569733013,0.4996852539108376,{},2523011
Sen-Arizona,2022-11-14 23:52:21.243000,Mark Kelly,Blake Masters,1245311,1118654,DEM,GOP,126657,163573,0,0,      0,0,0,1593,1732,0.8871574159549559,0.0,0.5446666666666666,{},2414440
Sen-Arizona,2022-11-14 23:20:14.805000,Mark Kelly,Blake Masters,1245311,1118654,DEM,GOP,126657,163573,1633,1587,"  1,587",0.5022054190296157,0.49779458097038437,1614,1732,0.8871574159549559,0.0038480930490081278,0.5446666666666666,{},2414440
Sen-Arizona,2022-11-14 18:24:28.791000,Mark Kelly,Blake Masters,1244514,1117864,DEM,GOP,126650,165206,3394,3324,"  3,324",0.33513838748495783,0.6648616125150422,1613,1732,0.8833093229059478,0.004465906535841002,0.5464666666666667,{},2412807
Sen-Arizona,2022-11-14 02:05:26.801000,Mark Kelly,Blake Masters,1243400,1115654,DEM,GOP,127746,168600,100940,99108," 99,108",0.4682972111232191,0.5317027888767809,1611,1732,0.8788434163701068,0.1302161254299865,0.5317027888767809,{},2409413
Sen-Arizona,2022-11-13 22:20:55.694000,Mark Kelly,Blake Masters,1196988,1062958,DEM,GOP,134030,269540,11891,11654," 11,654",0.6250214518620216,0.3749785481379784,1542,1732,0.7486272909401203,0.015682093005280118,0.44893333333333335,{},2308473
Sen-Arizona,2022-11-13 21:15:34.693000,Mark Kelly,Blake Masters,1189704,1058588,DEM,GOP,131116,281431,4012,3900,"  3,900",0.47641025641025636,0.5235897435897436,1534,1732,0.7329451979348401,0.002951819221752028,0.48536666666666667,{},2296582
Sen-Arizona,2022-11-13 17:26:55.442000,Mark Kelly,Blake Masters,1187846,1056546,DEM,GOP,131300,285443,2216,2180,"  2,180",0.5504587155963303,0.44954128440366975,1531,1732,0.7299933787130881,0.002154166312294148,0.47823333333333334,{},2292570
Sen-Arizona,2022-11-13 01:58:54.867000,Mark Kelly,Blake Masters,1186646,1055566,DEM,GOP,131080,287659,1191,1178,"  1,178",0.2546689303904923,0.7453310696095077,1530,1732,0.727839212400794,-6.108186958853068e-05,0.47963333333333336,{},2290354
Sen-Arizona,2022-11-13 01:26:14.113000,Mark Kelly,Blake Masters,1186346,1054688,DEM,GOP,131658,288850,104630,102814,"102,814",0.5312117026864045,0.46878829731359545,1529,1732,0.7279002942703825,0.06875624628827415,0.46878829731359545,{},2289163
Sen-Arizona,2022-11-12 23:20:34.982000,Mark Kelly,Blake Masters,1131730,1006490,DEM,GOP,125240,393480,4426,4302,"  4,302",0.6538819153881915,0.3461180846118085,1442,1732,0.6591440479821083,0.003433905385615721,0.42866666666666664,{},2184533
Sen-Arizona,2022-11-12 03:08:27.355000,Mark Kelly,Blake Masters,1128917,1005001,DEM,GOP,123916,397906,74390,73037," 73,037",0.5575119459999727,0.4424880540000274,1439,1732,0.6557101425964926,0.03341924875026059,0.4424880540000274,{},2180107
Sen-Arizona,2022-11-12 02:16:08.634000,Mark Kelly,Blake Masters,1088198,972683,DEM,GOP,115515,472296,9985,9754,"  9,754",0.28029526348164857,0.7197047365183514,1390,1732,0.622290893846232,-0.0019115939150523564,0.4474666666666667,{},2105717
Sen-Arizona,2022-11-12 02:03:28.552000,Mark Kelly,Blake Masters,1085464,965663,DEM,GOP,119801,482281,24453,23971," 23,971",0.683701138876142,0.316298861123858,1383,1732,0.6242024877612844,0.014683489628141588,0.3717,{},2095732
Sen-Arizona,2022-11-12 01:16:56.810000,Mark Kelly,Blake Masters,1069075,958081,DEM,GOP,110994,506734,22717,22167," 22,167",0.4079938647539135,0.5920061352460865,1367,1732,0.6095189981331428,0.0008469963803837688,0.5920061352460865,{},2071279
Sen-Arizona,2022-11-11 23:40:02.266000,Mark Kelly,Blake Masters,1060031,944958,DEM,GOP,115073,529451,0,0,      0,0,0,1352,1732,0.608672001752759,-0.39132799824724096,,{},2048562
Sen-Nevada,2022-11-16 01:55:11.125000,Catherine Cortez Masto,Adam Laxalt,493443,484436,DEM,GOP,9007,10434,3086,2951,"  2,951",0.6872246696035242,0.31277533039647576,1673,1690,0.9316177880007668,0.13938406019011584,0.3873,{},1009478
Sen-Nevada,2022-11-15 20:39:38.572000,Catherine Cortez Masto,Adam Laxalt,491415,483513,DEM,GOP,7902,13520,48,42,     42,0.26190476190476186,0.7380952380952381,1668,1690,0.7922337278106509,0.00029681743329246224,0.3928333333333333,{},1006392
Sen-Nevada,2022-11-15 18:24:07.814000,Catherine Cortez Masto,Adam Laxalt,491404,483482,DEM,GOP,7922,13568,10,10,     10,0.19999999999999996,0.8,1668,1690,0.7919369103773585,-5.938348521583592e-06,0.3923333333333333,{},1006344
Sen-Nevada,2022-11-15 16:32:14.593000,Catherine Cortez Masto,Adam Laxalt,491402,483474,DEM,GOP,7928,13578,736,686,    686,0.29591836734693877,0.7040816326530612,1668,1690,0.79194284872588,0.005230539098941445,0.39216666666666666,{},1006334
Sen-Nevada,2022-11-15 03:55:44.428000,Catherine Cortez Masto,Adam Laxalt,491199,482991,DEM,GOP,8208,14314,929,901,    901,0.6637069922308546,0.3362930077691454,1666,1690,0.7867123096269386,0.02715054357038804,0.38453333333333334,{},1005598
Sen-Nevada,2022-11-15 01:56:10.828000,Catherine Cortez Masto,Adam Laxalt,490601,482688,DEM,GOP,7913,15243,3229,3111,"  3,111",0.7161684345869495,0.2838315654130505,1665,1690,0.7595617660565506,0.08177917619080788,0.3855,{},1004669
Sen-Nevada,2022-11-14 20:23:59.274000,Catherine Cortez Masto,Adam Laxalt,488373,481805,DEM,GOP,6568,18472,130,120,    120,0.44166666666666665,0.5583333333333333,1659,1690,0.6777825898657427,0.0008661292701077627,0.3943333333333333,{},1001440
Sen-Nevada,2022-11-14 16:32:57.824000,Catherine Cortez Masto,Adam Laxalt,488320,481738,DEM,GOP,6582,18602,978,956,    956,0.5135983263598327,0.48640167364016734,1659,1690,0.6769164605956349,0.009500730258556245,0.3936,{},1001310
Sen-Nevada,2022-11-13 04:15:34.765000,Catherine Cortez Masto,Adam Laxalt,487829,481273,DEM,GOP,6556,19580,10787,10249," 10,249",0.5845448336423066,0.4154551663576934,1658,1690,0.6674157303370787,0.08800386877683242,0.38986666666666664,{},1000332
Sen-Nevada,2022-11-13 03:34:54.714000,Catherine Cortez Masto,Adam Laxalt,481838,477015,DEM,GOP,4823,30367,560,518,    518,0.34555984555984554,0.6544401544401545,1640,1690,0.5794118615602463,-0.001148813577982466,0.39743333333333336,{},989545
Sen-Nevada,2022-11-13 02:20:29.902000,Catherine Cortez Masto,Adam Laxalt,481659,476676,DEM,GOP,4983,30927,23201,22323," 22,323",0.6309187833176544,0.36908121668234556,1639,1690,0.5805606751382287,0.08852328229164286,0.3938333333333333,{},988985
Sen-Nevada,2022-11-12 05:15:11.319000,Adam Laxalt,Catherine Cortez Masto,468437,467575,GOP,DEM,862,54128,2579,2417,"  2,417",0.5084815887463798,0.49151841125362017,1600,1690,0.5079626071534141,0.0007236419462968158,0.5626,{},965784
Sen-Nevada,2022-11-12 03:34:44.974000,Adam Laxalt,Catherine Cortez Masto,467208,466387,GOP,DEM,821,56707,10943,10512," 10,512",0.446251902587519,0.553748097412481,1596,1690,0.5072389652071173,-0.007180842627324657,0.5759333333333333,{},963205
Sen-Nevada,2022-11-12 02:22:26.691000,Adam Laxalt,Catherine Cortez Masto,462517,460566,GOP,DEM,1951,67650,5068,4893,"  4,893",0.6178213774780299,0.38217862252197016,1578,1690,0.514419807834442,0.008932858248369757,0.6120333333333333,{},952262
Sen-Nevada,2022-11-12 01:16:56.810000,Adam Laxalt,Catherine Cortez Masto,459494,458696,GOP,DEM,798,72718,27229,26110," 26,110",0.34316353887399464,0.6568364611260054,1570,1690,0.5054869495860722,-0.03947688124426785,0.6568364611260054,{},947194
Sen-Nevada,2022-11-11 23:40:02.266000,Adam Laxalt,Catherine Cortez Masto,450534,441546,GOP,DEM,8988,99947,0,0,      0,0,0,1524,1690,0.5449638308303401,-0.45503616916965994,,{},919965
Gov-Arizona,2022-11-16 01:59:02.766000,Katie Hobbs,Kari Lake,1276937,1259688,DEM,GOP,17249,28294,12256,12256," 12,256",0.4174281984334204,0.5825718015665796,1713,1732,0.8048172757475083,0.0671723928868424,0.5562,{},2536625
Gov-Arizona,2022-11-15 23:22:23.082000,Katie Hobbs,Kari Lake,1271821,1252548,DEM,GOP,19273,40550,1912,1912,"  1,912",0.6888075313807531,0.3111924686192469,1705,1732,0.7376448828606659,0.01920251085746305,0.5304666666666666,{},2524369
Gov-Arizona,2022-11-15 22:18:11.914000,Katie Hobbs,Kari Lake,1270504,1251953,DEM,GOP,18551,42462,1166,1166,"  1,166",0.7941680960548885,0.2058319039451115,1703,1732,0.7184423720032028,0.013700004716139413,0.5437666666666666,{},2522457
Gov-Arizona,2022-11-15 21:19:24.934000,Katie Hobbs,Kari Lake,1269578,1251713,DEM,GOP,17865,43628,1579,1579,"  1,579",0.40595313489550344,0.5940468651044966,1703,1732,0.7047423672870634,0.0038663967515268904,0.5559666666666667,{},2521291
Gov-Arizona,2022-11-15 20:43:16.418000,Katie Hobbs,Kari Lake,1268937,1250775,DEM,GOP,18162,45207,589,589,    589,0.14601018675721567,0.8539898132427843,1701,1732,0.7008759705355365,-0.001969256121813423,0.5520333333333334,{},2519712
Gov-Arizona,2022-11-15 18:22:49.442000,Katie Hobbs,Kari Lake,1268851,1250272,DEM,GOP,18579,45796,3376,3376,"  3,376",0.34863744075829384,0.6513625592417062,1701,1732,0.7028452266573499,0.0035346433985847803,0.5454666666666667,{},2519123
Gov-Arizona,2022-11-15 17:51:28.329000,Katie Hobbs,Kari Lake,1267674,1248073,DEM,GOP,19601,49172,647,647,    647,0.6692426584234931,0.33075734157650694,1699,1732,0.6993105832587652,0.0047864057361332035,0.5306333333333333,{},2515747
Gov-Arizona,2022-11-15 04:30:24.623000,Katie Hobbs,Kari Lake,1267241,1247859,DEM,GOP,19382,49819,750,750,    750,0.42533333333333334,0.5746666666666667,1698,1732,0.694524177522632,0.001777633197057038,0.5347333333333333,{},2515100
Gov-Arizona,2022-11-15 03:41:14.200000,Katie Hobbs,Kari Lake,1266922,1247428,DEM,GOP,19494,50569,3647,3647,"  3,647",0.3241020016451879,0.6758979983548121,1698,1732,0.6927465443255749,0.0011333674036330121,0.5333333333333333,{},2514350
Gov-Arizona,2022-11-15 02:59:54.097000,Katie Hobbs,Kari Lake,1265740,1244963,DEM,GOP,20777,54216,522,522,    522,0.7835249042145593,0.2164750957854406,1695,1732,0.6916131769219419,0.004531076735599715,0.5143333333333333,{},2510703
Gov-Arizona,2022-11-15 02:02:32.548000,Katie Hobbs,Kari Lake,1265331,1244850,DEM,GOP,20481,54738,107988,107988,"107,988",0.4803774493462236,0.5196225506537764,1695,1732,0.6870821001863422,0.11112927150500052,0.5196225506537764,{},2510181
Gov-Arizona,2022-11-14 23:45:28.873000,Katie Hobbs,Kari Lake,1213456,1188737,DEM,GOP,24719,162726,0,0,      0,0,0,1593,1732,0.5759528286813417,0.0,0.5637333333333333,{},2402193
Gov-Arizona,2022-11-14 23:20:40.267000,Katie Hobbs,Kari Lake,1213456,1188737,DEM,GOP,24719,162726,1635,1635,"  1,635",0.48379204892966365,0.5162079510703363,1614,1732,0.5759528286813417,0.0005943190592293535,0.5637333333333333,{},2402193
Gov-Arizona,2022-11-14 18:28:13.317000,Katie Hobbs,Kari Lake,1212665,1187893,DEM,GOP,24772,164361,3379,3379,"  3,379",0.3166617342408997,0.6833382657591003,1613,1732,0.5753585096221123,-0.0021751734588463245,0.5656333333333333,{},2400558
Gov-Arizona,2022-11-14 02:08:31.207000,Katie Hobbs,Kari Lake,1211595,1185584,DEM,GOP,26011,167740,100377,100377,"100,377",0.4493160783844905,0.5506839216155095,1611,1732,0.5775336830809586,0.010051949360232237,0.5506839216155095,{},2397179
Gov-Arizona,2022-11-13 22:24:16.531000,Katie Hobbs,Kari Lake,1166494,1130308,DEM,GOP,36186,268117,11802,11802," 11,802",0.5993899339095068,0.40061006609049316,1542,1732,0.5674817337207264,0.007035676111203704,0.4823,{},2296802
Gov-Arizona,2022-11-13 21:15:40.194000,Katie Hobbs,Kari Lake,1159420,1125580,DEM,GOP,33840,279919,4018,4018,"  4,018",0.45146839223494273,0.5485316077650573,1534,1732,0.5604460576095227,0.00016860169500643174,0.5283666666666667,{},2285000
Gov-Arizona,2022-11-13 17:24:01.106000,Katie Hobbs,Kari Lake,1157606,1123376,DEM,GOP,34230,283937,2215,2215,"  2,215",0.5227990970654628,0.47720090293453726,1531,1732,0.5602774559145163,0.0006430658001714828,0.5242666666666667,{},2280982
Gov-Arizona,2022-11-13 02:08:34.698000,Katie Hobbs,Kari Lake,1156448,1122319,DEM,GOP,34129,286152,1193,1193,"  1,193",0.24308466051969824,0.7569153394803018,1530,1732,0.5596343901143448,-0.000819071752052758,0.5272333333333333,{},2278767
Gov-Arizona,2022-11-13 01:20:38.124000,Katie Hobbs,Kari Lake,1156158,1121416,DEM,GOP,34742,287345,84593,84593," 84,593",0.4822621257078009,0.5177378742921991,1529,1732,0.5604534618663976,0.009715166774204809,0.5177378742921991,{},2277574
Gov-Arizona,2022-11-12 23:52:27.297000,Katie Hobbs,Kari Lake,1115362,1077619,DEM,GOP,37743,371938,19689,19689," 19,689",0.6388846564071309,0.3611153435928691,1455,1732,0.5507382950921927,0.00953327092378764,0.3619328569054346,{},2192981
Gov-Arizona,2022-11-12 22:52:41.021000,Katie Hobbs,Kari Lake,1102783,1070509,DEM,GOP,32274,391627,4379,4379,"  4,379",0.6343914135647408,0.3656085864352592,1442,1732,0.5412050241684051,0.001941730177909995,0.3656085864352592,{},2173292
Gov-Arizona,2022-11-12 04:03:39.333000,Katie Hobbs,Kari Lake,1100005,1068908,DEM,GOP,31097,396006,0,0,      0,0,0,1439,1732,0.5392632939904951,-0.4607367060095049,,{},2168913
House-AK-1,2022-11-16 02:07:51.751000,Mary Peltola,Sarah Palin,108781,61092,DEM,GOP,47689,38395,14937,11397," 11,397",0.6440291304729315,0.3559708695270685,344,402,1.12103138429483,0.20471472637838217,0.3559708695270685,{},229596
House-AK-1,2022-11-12 16:40:03.243000,Mary Peltola,Sarah Palin,101441,57035,DEM,GOP,44406,53332,0,0,      0,0,0,402,402,0.9163166579164479,-0.0836833420835521,,{},214659
House-AZ-1,2022-11-15 02:08:13.840000,David Schweikert,Jevin Hodge,180875,177867,GOP,DEM,3008,3624,13946,13946," 13,946",0.5757923418901477,0.4242076581098523,207,209,0.9150110375275938,0.38956994475582374,0.41983333333333334,{},358742
House-AZ-1,2022-11-14 21:43:54.961000,David Schweikert,Jevin Hodge,172845,171951,GOP,DEM,894,17570,0,0,      0,0,0,194,209,0.5254410927717701,0.0,0.4290333333333333,{},344796
House-AZ-1,2022-11-14 02:07:36.694000,David Schweikert,Jevin Hodge,172845,171951,GOP,DEM,894,17570,20457,20457," 20,457",0.5839565918756415,0.4160434081243584,196,209,0.5254410927717701,0.05885156427885718,0.4290333333333333,{},344796
House-AZ-1,2022-11-13 02:08:06.256000,Jevin Hodge,David Schweikert,163440,160899,DEM,GOP,2541,38027,17252,17252," 17,252",0.456874565267795,0.543125434732205,180,209,0.5334104715070871,-0.003031938811478674,0.543125434732205,{},324339
House-AZ-1,2022-11-12 16:40:03.243000,Jevin Hodge,David Schweikert,155558,151529,DEM,GOP,4029,55279,0,0,      0,0,0,171,209,0.5364424103185658,-0.46355758968143423,,{},307087
House-AZ-6,2022-11-15 02:08:13.840000,Juan Ciscomani,Kirsten Engel,172287,168785,GOP,DEM,3502,10580,22866,22866," 22,866",0.5307006035161375,0.4692993964838625,243,251,0.6655009451795841,0.13413695546482007,0.4664333333333333,{},341072
House-AZ-6,2022-11-14 23:23:29.007000,Juan Ciscomani,Kirsten Engel,160152,158054,GOP,DEM,2098,33446,604,604,    604,0.5198675496688742,0.48013245033112584,224,251,0.5313639897147641,0.0009087767925908263,0.5185593531789783,{},318206
House-AZ-6,2022-11-14 21:43:54.961000,Juan Ciscomani,Kirsten Engel,159838,157764,GOP,DEM,2074,34050,0,0,      0,0,0,223,251,0.5304552129221732,0.0,0.5196560196560197,{},317602
House-AZ-6,2022-11-14 18:31:39.330000,Juan Ciscomani,Kirsten Engel,159838,157764,GOP,DEM,2074,34050,777,777,    777,0.6936936936936937,0.3063063063063063,224,251,0.5304552129221732,0.005000824085925504,0.5196560196560197,{},317602
House-AZ-6,2022-11-14 02:07:36.694000,Juan Ciscomani,Kirsten Engel,159299,157526,GOP,DEM,1773,34827,460,460,    460,0.6695652173913044,0.33043478260869563,223,251,0.5254543888362477,0.0025422682252578266,0.5277873154461177,{},316825
House-AZ-6,2022-11-13 22:24:12.006000,Juan Ciscomani,Kirsten Engel,158991,157374,GOP,DEM,1617,35287,6544,6544,"  6,544",0.5122249388753056,0.4877750611246944,222,251,0.5229121206109899,0.005496806609412097,0.5323430521403122,{},316365
